[2026-05-04 16:43:43Z] SESSION_START symbol=CHIPUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-04 16:43:43Z] TOXIC_MEMORY_LOADED count=3 symbols=GUNUSDC,JTOUSDC,SAHARAUSDC
[2026-05-04 16:44:16Z] CHK MOM:0.01% RANGE:0.03% UP:25% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.060255 P3:0.060235 P4:0.06024 STATE:IDLE
[2026-05-04 16:44:17Z] CHK MOM:0.01% RANGE:0.03% UP:25% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.060255 P3:0.060235 P4:0.06024 STATE:IDLE
[2026-05-04 16:44:17Z] CHK MOM:0.01% RANGE:0.03% UP:25% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.060255 P3:0.060235 P4:0.06024 STATE:IDLE
[2026-05-04 16:44:18Z] CHK MOM:0.02% RANGE:0.03% UP:28.57% SPREAD:0.06641208% BID:0.06023 ASK:0.06027 MID:0.06025 P1:0.06025 P2:0.060255 P3:0.060255 P4:0.060235 STATE:IDLE
[2026-05-04 16:44:19Z] CHK MOM:0.02% RANGE:0.03% UP:28.57% SPREAD:0.06641208% BID:0.06023 ASK:0.06027 MID:0.06025 P1:0.06025 P2:0.060255 P3:0.060255 P4:0.060235 STATE:IDLE
[2026-05-04 16:44:19Z] CHK MOM:0.01% RANGE:0.03% UP:33.33% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.06025 P3:0.060255 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:20Z] CHK MOM:0.02% RANGE:0.03% UP:40% SPREAD:0.06641208% BID:0.06023 ASK:0.06027 MID:0.06025 P1:0.06025 P2:0.060255 P3:0.06025 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:20Z] CHK MOM:0.02% RANGE:0.03% UP:40% SPREAD:0.06641208% BID:0.06023 ASK:0.06027 MID:0.06025 P1:0.06025 P2:0.060255 P3:0.06025 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:21Z] CHK MOM:0.02% RANGE:0.03% UP:40% SPREAD:0.06641208% BID:0.06023 ASK:0.06027 MID:0.06025 P1:0.06025 P2:0.060255 P3:0.06025 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:21Z] CHK MOM:0.02% RANGE:0.03% UP:40% SPREAD:0.06641208% BID:0.06023 ASK:0.06027 MID:0.06025 P1:0.06025 P2:0.060255 P3:0.06025 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:22Z] CHK MOM:0.02% RANGE:0.03% UP:40% SPREAD:0.06641208% BID:0.06023 ASK:0.06027 MID:0.06025 P1:0.06025 P2:0.060255 P3:0.06025 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:22Z] CHK MOM:0.02% RANGE:0.03% UP:40% SPREAD:0.06641208% BID:0.06023 ASK:0.06027 MID:0.06025 P1:0.06025 P2:0.060255 P3:0.06025 P4:0.060255 STATE:IDLE
[2026-05-04 16:44:23Z] CHK MOM:0% RANGE:0% UP:50% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.06025 P3:0.060255 P4:0.06025 STATE:IDLE
[2026-05-04 16:44:24Z] CHK MOM:0% RANGE:0% UP:50% SPREAD:0.04980079% BID:0.06024 ASK:0.06027 MID:0.060255 P1:0.060255 P2:0.06025 P3:0.060255 P4:0.06025 STATE:IDLE
