[2026-05-04 16:08:23Z] SESSION_START symbol=ORDIUSDC dry_run=0 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-04 16:08:23Z] TOXIC_MEMORY_LOADED count=3 symbols=GUNUSDC,JTOUSDC,SAHARAUSDC
[2026-05-04 16:08:45Z] CHK MOM:-0.05% RANGE:0.16% UP:37.5% SPREAD:0.13358778% BID:5.24 ASK:5.247 MID:5.2435 P1:5.2435 P2:5.244 P3:5.243 P4:5.2425 STATE:IDLE
[2026-05-04 16:08:46Z] CHK MOM:-0.04% RANGE:0.14% UP:37.5% SPREAD:0.15270089% BID:5.239 ASK:5.247 MID:5.243 P1:5.243 P2:5.2435 P3:5.244 P4:5.243 STATE:IDLE
[2026-05-04 16:08:47Z] CHK MOM:-0.03% RANGE:0.14% UP:44.44% SPREAD:0.13358778% BID:5.24 ASK:5.247 MID:5.2435 P1:5.2435 P2:5.243 P3:5.2435 P4:5.244 STATE:IDLE
[2026-05-04 16:08:47Z] CHK MOM:-0.04% RANGE:0.14% UP:40% SPREAD:0.15270089% BID:5.239 ASK:5.247 MID:5.243 P1:5.243 P2:5.2435 P3:5.243 P4:5.2435 STATE:IDLE
[2026-05-04 16:08:48Z] CHK MOM:-0.04% RANGE:0.14% UP:40% SPREAD:0.15270089% BID:5.239 ASK:5.247 MID:5.243 P1:5.243 P2:5.2435 P3:5.243 P4:5.2435 STATE:IDLE
[2026-05-04 16:08:48Z] CHK MOM:0.1% RANGE:0.11% UP:62.5% SPREAD:0.13358778% BID:5.24 ASK:5.247 MID:5.2435 P1:5.2435 P2:5.243 P3:5.2435 P4:5.243 STATE:IDLE
[2026-05-04 16:08:49Z] CHK MOM:0.09% RANGE:0.11% UP:55.55% SPREAD:0.15270089% BID:5.239 ASK:5.247 MID:5.243 P1:5.243 P2:5.2435 P3:5.243 P4:5.2435 STATE:IDLE
[2026-05-04 16:08:49Z] CHK MOM:0.09% RANGE:0.11% UP:50% SPREAD:0.15270089% BID:5.239 ASK:5.247 MID:5.243 P1:5.243 P2:5.243 P3:5.2435 P4:5.243 STATE:IDLE
[2026-05-04 16:08:50Z] CHK MOM:0.09% RANGE:0.11% UP:50% SPREAD:0.15270089% BID:5.239 ASK:5.247 MID:5.243 P1:5.243 P2:5.243 P3:5.2435 P4:5.243 STATE:IDLE
[2026-05-04 16:08:50Z] CHK MOM:-0.05% RANGE:0.07% UP:33.33% SPREAD:0.03817522% BID:5.239 ASK:5.241 MID:5.24 P1:5.24 P2:5.243 P3:5.243 P4:5.2435 STATE:IDLE
[2026-05-04 16:08:51Z] CHK MOM:-0.05% RANGE:0.07% UP:33.33% SPREAD:0.03817522% BID:5.239 ASK:5.241 MID:5.24 P1:5.24 P2:5.243 P3:5.243 P4:5.2435 STATE:IDLE
[2026-05-04 16:08:51Z] CHK MOM:-0.05% RANGE:0.07% UP:33.33% SPREAD:0.03817522% BID:5.239 ASK:5.241 MID:5.24 P1:5.24 P2:5.243 P3:5.243 P4:5.2435 STATE:IDLE
[2026-05-04 16:08:52Z] CHK MOM:-0.05% RANGE:0.07% UP:33.33% SPREAD:0.03817522% BID:5.239 ASK:5.241 MID:5.24 P1:5.24 P2:5.243 P3:5.243 P4:5.2435 STATE:IDLE
[2026-05-04 16:08:53Z] CHK MOM:-0.05% RANGE:0.07% UP:33.33% SPREAD:0.07635044% BID:5.239 ASK:5.243 MID:5.241 P1:5.241 P2:5.24 P3:5.243 P4:5.243 STATE:IDLE
