[2026-05-01T07:18:16+02:00] SESSION_START symbol=TRBUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T07:18:16+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T07:18:18+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.10498687% BID:19.05 ASK:19.07 MID:19.06 P1:19.06 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T07:18:38+02:00] CHK MOM:0.05% RANGE:0.1% UP:30% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.04999999 P3:19.055 P4:19.045 STATE:IDLE
[2026-05-01T07:18:38+02:00] CHK MOM:0.02% RANGE:0.1% UP:25% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.045 P3:19.04999999 P4:19.055 STATE:IDLE
[2026-05-01T07:18:39+02:00] CHK MOM:0.02% RANGE:0.1% UP:23.8% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.045 P3:19.045 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:40+02:00] CHK MOM:0.1% RANGE:0.1% UP:28.57% SPREAD:0.15756302% BID:19.04 ASK:19.07 MID:19.055 P1:19.055 P2:19.045 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:40+02:00] CHK MOM:0.07% RANGE:0.1% UP:28.57% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.055 P3:19.045 P4:19.045 STATE:IDLE
[2026-05-01T07:18:41+02:00] CHK MOM:0.02% RANGE:0.07% UP:23.8% SPREAD:0.15764582% BID:19.03 ASK:19.06 MID:19.045 P1:19.045 P2:19.04999999 P3:19.055 P4:19.045 STATE:IDLE
[2026-05-01T07:18:41+02:00] CHK MOM:0.02% RANGE:0.07% UP:23.8% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.045 P3:19.04999999 P4:19.055 STATE:IDLE
[2026-05-01T07:18:42+02:00] CHK MOM:0.02% RANGE:0.07% UP:23.8% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.045 P3:19.04999999 P4:19.055 STATE:IDLE
[2026-05-01T07:18:42+02:00] CHK MOM:0.05% RANGE:0.07% UP:27.27% SPREAD:0.15756302% BID:19.04 ASK:19.07 MID:19.055 P1:19.055 P2:19.04999999 P3:19.045 P4:19.04999999 STATE:IDLE
[2026-05-01T07:18:43+02:00] CHK MOM:0.02% RANGE:0.07% UP:26.08% SPREAD:0.10504201% BID:19.04 ASK:19.06 MID:19.04999999 P1:19.04999999 P2:19.055 P3:19.04999999 P4:19.045 STATE:IDLE
