[2026-05-01T02:03:32+02:00] SESSION_START symbol=XRPUSDC dry_run=1 profile=major strategy=momentum base_url=https://api.binance.com
[2026-05-01T02:03:32+02:00] TOXIC_MEMORY_LOADED count=17 symbols=0GUSDC,AAVEUSDC,CFGUSDC,DASHUSDC,ENJUSDC,FETUSDC,GIGGLEUSDC,GUNUSDC,HBARUSDC,KITEUSDC
[2026-05-01T02:03:34+02:00] CHK MOM:0% RANGE:0% UP:0% SPREAD:0.00730193% BID:1.3695 ASK:1.3696 MID:1.36954999 P1:1.36954999 P2:NA P3:NA P4:NA STATE:IDLE
[2026-05-01T02:03:59+02:00] CHK MOM:0.05% RANGE:0.05% UP:30.43% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:00+02:00] CHK MOM:0.05% RANGE:0.05% UP:30.43% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:00+02:00] CHK MOM:0.05% RANGE:0.05% UP:30.43% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:01+02:00] CHK MOM:0.05% RANGE:0.05% UP:30.43% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:02+02:00] CHK MOM:0.03% RANGE:0.03% UP:23.8% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:02+02:00] CHK MOM:0.03% RANGE:0.03% UP:23.8% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:03+02:00] CHK MOM:0.02% RANGE:0.02% UP:19.04% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:03+02:00] CHK MOM:0.02% RANGE:0.02% UP:14.28% SPREAD:0.00729394% BID:1.371 ASK:1.3711 MID:1.37104999 P1:1.37104999 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:04+02:00] CHK MOM:0.04% RANGE:0.04% UP:18.18% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37104999 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:04+02:00] CHK MOM:0.04% RANGE:0.04% UP:19.04% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37104999 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:05+02:00] CHK MOM:0.04% RANGE:0.04% UP:18.18% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37135 P3:1.37135 P4:1.37104999 STATE:IDLE
[2026-05-01T02:04:05+02:00] CHK MOM:0.04% RANGE:0.04% UP:23.8% SPREAD:0.0145847% BID:1.3713 ASK:1.3715 MID:1.3714 P1:1.3714 P2:1.37135 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:06+02:00] CHK MOM:0.05% RANGE:0.05% UP:27.27% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.3714 P3:1.37135 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:07+02:00] CHK MOM:0.05% RANGE:0.05% UP:26.08% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.3714 P4:1.37135 STATE:IDLE
[2026-05-01T02:04:07+02:00] CHK MOM:0.04% RANGE:0.04% UP:21.73% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.3714 STATE:IDLE
[2026-05-01T02:04:08+02:00] CHK MOM:0.04% RANGE:0.04% UP:21.73% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.3714 STATE:IDLE
[2026-05-01T02:04:08+02:00] CHK MOM:0.04% RANGE:0.04% UP:21.73% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.3714 STATE:IDLE
[2026-05-01T02:04:09+02:00] CHK MOM:0.04% RANGE:0.04% UP:18.18% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:09+02:00] CHK MOM:0.04% RANGE:0.04% UP:18.18% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:10+02:00] CHK MOM:0.04% RANGE:0.04% UP:18.18% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:10+02:00] CHK MOM:0.04% RANGE:0.04% UP:18.18% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:11+02:00] CHK MOM:0.04% RANGE:0.04% UP:18.18% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:11+02:00] CHK MOM:0.04% RANGE:0.04% UP:18.18% SPREAD:0.00729128% BID:1.3715 ASK:1.3716 MID:1.37155 P1:1.37155 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:12+02:00] CHK MOM:0.03% RANGE:0.04% UP:18.18% SPREAD:0.00729181% BID:1.3714 ASK:1.3715 MID:1.37144999 P1:1.37144999 P2:1.37155 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:13+02:00] CHK MOM:0.03% RANGE:0.04% UP:18.18% SPREAD:0.00729181% BID:1.3714 ASK:1.3715 MID:1.37144999 P1:1.37144999 P2:1.37144999 P3:1.37155 P4:1.37155 STATE:IDLE
[2026-05-01T02:04:13+02:00] CHK MOM:0.02% RANGE:0.03% UP:13.63% SPREAD:0.00729235% BID:1.3713 ASK:1.3714 MID:1.37135 P1:1.37135 P2:1.37144999 P3:1.37144999 P4:1.37155 STATE:IDLE
